entrez_gene_id	symbol	description	gene_type	mean_expression	stdev_expression
100101467	ZSCAN30	zinc finger and SCAN domain containing 30	protein-coding	8.108	0.8012
100101490	MCTS2P	malignant T cell amplified sequence 2, pseudogene	pseudo	3.86	1.17
100101629	GAGE8	G antigen 8	protein-coding	0.1957	0.9708
100101938	ANKRD26P3	ankyrin repeat domain 26 pseudogene 3	pseudo	0.262	0.6672
10011	SRA1	steroid receptor RNA activator 1	protein-coding	9.529	0.6406
100113378	SNORD119	small nucleolar RNA, C/D box 119	snoRNA	0	0
100113379	SNORD121A	small nucleolar RNA, C/D box 121A	snoRNA	0	0
100113380	SNORD125	small nucleolar RNA, C/D box 125	snoRNA	0	0
100113381	SNORD19B	small nucleolar RNA, C/D box 19B	snoRNA	0	0
100113382	SNORD105B	small nucleolar RNA, C/D box 105B	snoRNA	0	0
100113384	SNORD123	small nucleolar RNA, C/D box 123	snoRNA	0	0
100113386	UCKL1-AS1	UCKL1 antisense RNA 1	ncRNA	4	1.246
100113389	SNORD127	small nucleolar RNA, C/D box 127	snoRNA	0	0
100113391	SNORD126	small nucleolar RNA, C/D box 126	snoRNA	0	0
100113392	SNORD11B	small nucleolar RNA, C/D box 11B	snoRNA	0	0
100113393	SNORD12B	small nucleolar RNA, C/D box 12B	snoRNA	0.0001884	0.01725
100113402	SNORD111B	small nucleolar RNA, C/D box 111B	snoRNA	0	0
100113407	TMEM170B	transmembrane protein 170B	protein-coding	7.353	1.448
100124412	FAM138E	family with sequence similarity 138 member E	ncRNA	0.1006	0.3633
100124516	SNORD58C	small nucleolar RNA, C/D box 58C	snoRNA	0	0
100124533	SCARNA27	small Cajal body-specific RNA 27	ncRNA	0.001996	0.03396
100124534	SNORA84	small nucleolar RNA, H/ACA box 84	snoRNA	0.03907	0.2035
100124535	SNORA36C	small nucleolar RNA, H/ACA box 36C	snoRNA	0.0003767	0.01666
100124536	SNORA38B	small nucleolar RNA, H/ACA box 38B	snoRNA	0.03685	0.2057
100124537	SNORA70B	small nucleolar RNA, H/ACA box 70B	snoRNA	0.002848	0.04375
100124538	SNORA70C	small nucleolar RNA, H/ACA box 70C	snoRNA	0.0002945	0.02243
100124539	SNORA11B	small nucleolar RNA, H/ACA box 11B	snoRNA	0.003565	0.05366
100124540	SNORA11C	small nucleolar RNA, H/ACA box 11C	snoRNA	0.0001276	0.01168
100124541	SNORA11D	small nucleolar RNA, H/ACA box 11D	snoRNA	0.01968	0.1408
100124700	HOTAIR	HOX transcript antisense RNA	ncRNA	2.576	2.508
100125288	ZGLP1	zinc finger, GATA-like protein 1	protein-coding	4.843	1.394
100125556	FAM86JP	family with sequence similarity 86, member A pseudogene	pseudo	6.076	0.9393
100126270	FMR1-AS1	FMR1 antisense RNA 1	ncRNA	0.6421	0.6977
100126780	SNAR-G1	small ILF3/NF90-associated RNA G1	snRNA	0.02101	0.1584
100126781	SNAR-F	small ILF3/NF90-associated RNA F	snRNA	0.002916	0.05993
100126784	LOC100126784	uncharacterized LOC100126784	ncRNA	4.576	2.178
100126791	EGOT	eosinophil granule ontogeny transcript (non-protein coding)	ncRNA	2.142	1.972
100126793	GHRLOS	ghrelin opposite strand/antisense RNA	ncRNA	3.384	1.082
100126799	SNAR-A2	small ILF3/NF90-associated RNA A2	snRNA	0.001249	0.03949
100127888	SLCO4A1-AS1	SLCO4A1 antisense RNA 1	ncRNA	2.243	2.348
100128023	DPPA2P3	developmental pluripotency associated 2 pseudogene 3	pseudo	0.1833	0.381
100128076	LOC100128076	protein tyrosine phosphatase pseudogene	pseudo	0.545	0.9359
100128124	HGC6.3	uncharacterized LOC100128124	protein-coding	0.844	1.461
100128164	LOC100128164	four and a half LIM domains 1 pseudogene	pseudo	1.634	1.269
100128191	TMPO-AS1	TMPO antisense RNA 1	ncRNA	6.22	1.066
100128239	LOC100128239	uncharacterized LOC100128239	ncRNA	2.641	1.929
100128285	DNM1P35	dynamin 1 pseudogene 35	pseudo	4.459	1.201
100128288	LOC100128288	uncharacterized LOC100128288	ncRNA	5.107	1.267
100128292	DLG5-AS1	DLG5 antisense RNA 1	ncRNA	3.874	1.053
100128327	TRAPPC3L	trafficking protein particle complex 3 like	protein-coding	0.7826	0.9071
100128378	LINC00696	long intergenic non-protein coding RNA 696	ncRNA	0.5407	1.02
100128385	FAM225B	family with sequence similarity 225 member B (non-protein coding)	ncRNA	5.495	1.757
100128542	BET1P1	Bet1 golgi vesicular membrane trafficking protein pseudogene 1	pseudo	0.7336	0.8488
100128553	CTAGE4	CTAGE family member 4	protein-coding	5.244	1.977
100128554	LINC02347	long intergenic non-protein coding RNA 2347	ncRNA	0.2123	0.5652
100128569	C19orf71	chromosome 19 open reading frame 71	protein-coding	3.285	1.112
100128573	LOC100128573	uncharacterized LOC100128573	ncRNA	0.9468	0.7226
100128640	ACVR2B-AS1	ACVR2B antisense RNA 1	ncRNA	4.697	1.193
100128675	HPN-AS1	HPN antisense RNA 1	ncRNA	1.722	1.635
100128731	OST4	oligosaccharyltransferase complex subunit 4, non-catalytic	protein-coding	11.24	0.6461
100128782	LINC00476	long intergenic non-protein coding RNA 476	ncRNA	7.004	1.048
100128788	SRRM2-AS1	SRRM2 antisense RNA 1	ncRNA	3.564	1.139
100128811	GPR158-AS1	GPR158 antisense RNA 1	ncRNA	0.5863	1.251
100128822	LINC01003	long intergenic non-protein coding RNA 1003	ncRNA	6.735	0.9841
100128927	ZBTB42	zinc finger and BTB domain containing 42	protein-coding	8.269	1.194
100128977	MAPT-AS1	MAPT antisense RNA 1	ncRNA	0.8207	1.773
100129034	LOC100129034	uncharacterized LOC100129034	ncRNA	10.26	1.238
100129055	LOC100129055	cyclin Y like 1 pseudogene	pseudo	0.536	0.6997
100129066	UNQ6494	uncharacterized LOC100129066	ncRNA	1.722	1.447
100129075	KTN1-AS1	KTN1 antisense RNA 1	ncRNA	5.506	0.8876
100129128	KHDC1L	KH domain containing 1 like	protein-coding	1.584	2.166
100129239	CXorf51A	chromosome X open reading frame 51A	protein-coding	0.03773	0.2729
100129271	C1orf68	chromosome 1 open reading frame 68	protein-coding	0.3809	1.212
100129354	NRADDP	neurotrophin receptor associated death domain, pseudogene	pseudo	1.478	1.078
100129387	GABPB1-AS1	GABPB1 antisense RNA 1	ncRNA	6.532	0.8833
100129396	FAM106CP	family with sequence similarity 106 member C, pseudogene	protein-coding	1.97	1.426
100129405	MSTO2P	misato family member 2, pseudogene	pseudo	6.589	0.9685
100129424	RPL19P12	ribosomal protein L19 pseudogene 12	pseudo	6.257	1.343
100129482	ZNF37BP	zinc finger protein 37B, pseudogene	pseudo	7.965	0.9823
100129534	LOC100129534	small nuclear ribonucleoprotein polypeptide N pseudogene	pseudo	5.133	1.3
100129550	LINC02035	long intergenic non-protein coding RNA 2035	ncRNA	7.519	0.8845
100129583	FAM47E	family with sequence similarity 47 member E	protein-coding	5.593	2.022
100129716	ARRDC3-AS1	ARRDC3 antisense RNA 1	ncRNA	3.015	0.8978
100129726	LINC01126	long intergenic non-protein coding RNA 1126	ncRNA	2.67	1.121
100129792	CCDC152	coiled-coil domain containing 152	protein-coding	5.92	1.624
100129842	ZNF737	zinc finger protein 737	protein-coding	7.442	1.901
100129935	LOC100129935	galectin 14 pseudogene	pseudo	0.04102	0.2861
10013	HDAC6	histone deacetylase 6	protein-coding	10.22	0.6417
100130015	URAHP	urate (hydroxyiso-) hydrolase, pseudogene	pseudo	4.661	1.27
100130017	FTLP10	ferritin light chain pseudogene 10	pseudo	0.02151	0.1621
100130086	HSFX2	heat shock transcription factor family, X-linked 2	protein-coding	4.686	0.9735
100130148	MAPT-IT1	MAPT intronic transcript 1	ncRNA	0.973	1.668
100130238	LOC100130238	uncharacterized LOC100130238	ncRNA	2.183	2.154
100130264	LOC100130264	uncharacterized LOC100130264	ncRNA	0.1669	0.4181
100130274	CCDC166	coiled-coil domain containing 166	protein-coding	0.2294	0.5274
100130302	SUPT20HL1	SUPT20H like 1	protein-coding	0.2701	0.5984
100130311	C17orf107	chromosome 17 open reading frame 107	protein-coding	5.955	1.519
100130331	LOC100130331	POTE ankyrin domain family, member F pseudogene	pseudo	2.527	1.426
100130386	LINC00552	long intergenic non-protein coding RNA 552	ncRNA	0.6773	1.052
100130417	LOC100130417	uncharacterized LOC100130417	ncRNA	0.409	0.7904
100130418	CECR7	cat eye syndrome chromosome region, candidate 7 (non-protein coding)	ncRNA	3.727	2.293
100130449	LOC100130449	uncharacterized LOC100130449	protein-coding	2.91	2.316
100130522	PARD6G-AS1	PARD6G antisense RNA 1	ncRNA	3.231	1.391
100130557	NFYC-AS1	NFYC antisense RNA 1	ncRNA	5.304	1.046
100130581	LINC00910	long intergenic non-protein coding RNA 910	ncRNA	5.414	0.8977
100130613	PRR32	proline rich 32	protein-coding	0.6059	1.291
100130691	LOC100130691	uncharacterized LOC100130691	ncRNA	3.7	1.186
100130717	HDHD5-AS1	HDHD5 antisense RNA 1	ncRNA	1.851	1.079
100130733	LRRC70	leucine rich repeat containing 70	protein-coding	4.786	1.166
100130742	LRRC69	leucine rich repeat containing 69	protein-coding	1.893	1.411
100130771	EFCAB10	EF-hand calcium binding domain 10	protein-coding	2.735	1.311
100130776	AGAP2-AS1	AGAP2 antisense RNA 1	ncRNA	7.264	1.604
100130872	LOC100130872	uncharacterized LOC100130872	ncRNA	5.251	2.184
100130889	PSORS1C3	psoriasis susceptibility 1 candidate 3 (non-protein coding)	ncRNA	1.482	1.754
100130932	SNRPGP15	small nuclear ribonucleoprotein polypeptide G pseudogene 15	pseudo	5.961	0.7829
100130933	SMIM6	small integral membrane protein 6	protein-coding	3.234	2.724
100130958	SYCE1L	synaptonemal complex central element protein 1 like	protein-coding	3.592	2.016
100130987	LOC100130987	uncharacterized LOC100130987	ncRNA	3.559	1.026
100130988	SPATA48	spermatogenesis associated 48	protein-coding	0.08845	0.4893
100131137	BSPH1	binder of sperm protein homolog 1	protein-coding	0.008337	0.1159
100131187	TSTD1	thiosulfate sulfurtransferase like domain containing 1	protein-coding	8.908	2.043
100131193	CCDC183-AS1	CCDC183 antisense RNA 1	ncRNA	5.032	1.199
100131211	NEMP2	nuclear envelope integral membrane protein 2	protein-coding	6.813	0.8577
100131213	ZNF503-AS2	ZNF503 antisense RNA 2	ncRNA	5.907	1.37
100131390	SP9	Sp9 transcription factor	protein-coding	0.7629	1.438
100131434	LINC00893	long intergenic non-protein coding RNA 893	ncRNA	4.824	1.394
100131439	CD300LD	CD300 molecule like family member d	protein-coding	0.06645	0.2918
100131454	DBIL5P	diazepam binding inhibitor-like 5, pseudogene	pseudo	3.607	0.9572
100131496	LOC100131496	uncharacterized LOC100131496	ncRNA	1.546	0.9852
100131551	LINC00887	long intergenic non-protein coding RNA 887	ncRNA	2.496	2.205
100131561	FKSG29	FKSG29	ncRNA	0.1203	0.4187
100131691	MZF1-AS1	MZF1 antisense RNA 1	ncRNA	4.889	0.9488
100131726	FAM83A-AS1	FAM83A antisense RNA 1	ncRNA	1.813	2.341
100131814	LINC00271	long intergenic non-protein coding RNA 271	ncRNA	2.286	1.674
100131816	UBE2DNL	ubiquitin conjugating enzyme E2 D N-terminal like (pseudogene)	pseudo	0.08668	0.479
100131827	ZNF717	zinc finger protein 717	protein-coding	4.866	1.353
100131897	FAM196B	family with sequence similarity 196 member B	protein-coding	2.226	2.09
100131902	KRTAP25-1	keratin associated protein 25-1	protein-coding	0.0005103	0.01819
100131998	RRN3P3	RRN3 homolog, RNA polymerase I transcription factor pseudogene 3	pseudo	5.552	0.7593
100132103	FAM66E	family with sequence similarity 66 member E	ncRNA	0.9	0.9995
100132111	LOC100132111	uncharacterized LOC100132111	ncRNA	2.568	1.617
100132215	LOC100132215	uncharacterized LOC100132215	ncRNA	3.882	1.279
100132247	NPIPB5	nuclear pore complex interacting protein family member B5	protein-coding	7.133	1.201
100132287	LOC100132287	uncharacterized LOC100132287	ncRNA	8.17	1.093
100132288	TEKT4P2	tektin 4 pseudogene 2	pseudo	7.621	1.396
100132341	CLUHP3	clustered mitochondria homolog pseudogene 3	pseudo	5.386	1.257
100132354	LINC01512	long intergenic non-protein coding RNA 1512	ncRNA	1.517	1.697
100132386	KRTAP4-9	keratin associated protein 4-9	protein-coding	0.04023	0.2861
100132399	GAGE12D	G antigen 12D	protein-coding	0.6513	2.187
100132403	FAM157B	family with sequence similarity 157 member B (non-protein coding)	ncRNA	1.132	1.157
100132406	NBPF10	NBPF member 10	protein-coding	8.368	1.49
100132417	FCGR1CP	Fc fragment of IgG receptor Ic, pseudogene	pseudo	4.545	1.698
100132464	FAM99B	family with sequence similarity 99 member B (non-protein coding)	ncRNA	0.1134	0.6827
100132476	KRTAP4-7	keratin associated protein 4-7	protein-coding	0.03403	0.2501
100132565	GOLGA8F	golgin A8 family member F	protein-coding	0.0347	0.2445
100132707	PAXIP1-AS2	PAXIP1 antisense RNA 2	ncRNA	5.954	0.9072
100132708	CYP4F30P	cytochrome P450 family 4 subfamily F member 30, pseudogene	pseudo	0.6085	1.578
100132724	DCAF13P3	DDB1 and CUL4 associated factor 13 pseudogene 3	pseudo	1.845	0.8343
100132831	LOC100132831	A20-binding inhibitor of NF-kappaB activation 2 pseudogene	pseudo	0.6328	0.7494
100132832	PMS2P9	PMS1 homolog 2, mismatch repair system component pseudogene 9	pseudo	2.345	0.9455
100132911	DPH3P1	diphthamide biosynthesis 3 pseudogene 1	protein-coding	4.244	1.008
100132923	FAM66D	family with sequence similarity 66 member D	ncRNA	3.276	1.934
100132929	FAM25BP	protein FAM25	pseudo	0.7169	1.656
100132948	FAM27C	family with sequence similarity 27 member C	ncRNA	3.878	1.485
100132979	GOLGA8DP	golgin A8 family member D, pseudogene	pseudo	0.4655	0.792
100132994	CXorf49B	chromosome X open reading frame 49B	protein-coding	1.209	2.081
100133036	FAM95B1	family with sequence similarity 95 member B1	ncRNA	4.555	1.909
100133050	LOC100133050	glucuronidase beta pseudogene	pseudo	0.1114	0.327
100133121	FAM27B	family with sequence similarity 27 member B	ncRNA	0.2046	0.8998
100133161	LINC01001	long intergenic non-protein coding RNA 1001	ncRNA	5.301	1.458
100133172	FAM66A	family with sequence similarity 66 member A	ncRNA	1.185	1.117
100133205	LINC00240	long intergenic non-protein coding RNA 240	ncRNA	3.118	1.4
100133234	SBF1P1	SET binding factor 1 pseudogene 1	pseudo	1.114	0.8876
100133308	RSU1P2	Ras suppressor protein 1 pseudogene 2	pseudo	0.243	0.6121
100133331	LOC100133331	uncharacterized LOC100133331	ncRNA	6.877	1.062
100133545	MRPL23-AS1	MRPL23 antisense RNA 1	ncRNA	2.425	1.797
100133612	LINC01134	long intergenic non-protein coding RNA 1134	ncRNA	2.715	1.318
100133669	LY6E-DT	LY6E divergent transcript	ncRNA	2.388	1.606
100133920	LOC100133920	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like pseudogene	pseudo	0.154	0.4267
100133941	CD24	CD24 molecule	protein-coding	12.62	2.973
100133957	UXT-AS1	UXT antisense RNA 1	ncRNA	2.874	0.8264
100133985	LINC01816	long intergenic non-protein coding RNA 1816	ncRNA	3.495	1.385
100133991	MAP3K14-AS1	MAP3K14 antisense RNA 1	ncRNA	4.065	1.281
100134229	KDM7A-DT	KDM7A divergent transcript	ncRNA	7.181	1.144
100134259	LINC01119	long intergenic non-protein coding RNA 1119	ncRNA	2.971	1.061
100134368	LOC100134368	uncharacterized LOC100134368	ncRNA	2.081	0.955
100134713	NDUFB2-AS1	NDUFB2 antisense RNA 1	ncRNA	4.283	0.7232
100134868	LOC100134868	uncharacterized LOC100134868	ncRNA	2.131	1.296
100134869	UBE2Q2P2	ubiquitin conjugating enzyme E2 Q2 pseudogene 2	pseudo	3.242	1.163
100134934	TEN1	TEN1, CST complex subunit	protein-coding	8.452	0.7791
100134938	UPK3BL1	uroplakin 3B like 1	protein-coding	7.62	2.181
10014	HDAC5	histone deacetylase 5	protein-coding	10.4	0.7667
100141515	C17orf99	chromosome 17 open reading frame 99	protein-coding	1.338	1.44
100144596	LINC00029	long intergenic non-protein coding RNA 29	ncRNA	0.06691	0.4055
100144603	CHKB-DT	CHKB divergent transcript	ncRNA	3.203	1.052
100144604	LINC00930	long intergenic non-protein coding RNA 930	ncRNA	2.098	2.103
100144748	KLLN	killin, p53 regulated DNA replication inhibitor	protein-coding	4.821	0.9532
10015	PDCD6IP	programmed cell death 6 interacting protein	protein-coding	11.53	0.53
100151643	KRTAP20-4	keratin associated protein 20-4	protein-coding	0.02553	0.1858
100151683	RNU4ATAC	RNA, U4atac small nuclear (U12-dependent splicing)	snRNA	0.05843	0.2415
100151684	RNU6ATAC	RNA, U6atac small nuclear (U12-dependent splicing)	snRNA	0.04108	0.2055
100158262	SCARNA9L	small Cajal body-specific RNA 9-like	ncRNA	0.227	0.5241
10016	PDCD6	programmed cell death 6	protein-coding	10.92	0.5565
100169750	PRINS	psoriasis associated non-protein coding RNA induced by stress	ncRNA	1.534	1.244
100169752	TEX36-AS1	TEX36 antisense RNA 1	ncRNA	0.002454	0.07458
100169851	PATE3	prostate and testis expressed 3	protein-coding	0.06028	0.3092
100169890	PEG3-AS1	PEG3 antisense RNA 1	ncRNA	0.1557	0.8658
100169951	SNAR-A3	small ILF3/NF90-associated RNA A3	snRNA	0.001308	0.03714
100169956	SNAR-A4	small ILF3/NF90-associated RNA A4	snRNA	0	0
100169959	SNAR-A13	small ILF3/NF90-associated RNA A13	snRNA	0.0001419	0.009329
10017	BCL2L10	BCL2 like 10	protein-coding	2.802	1.937
100170217	SNAR-B2	small ILF3/NF90-associated RNA B2	snRNA	0.04394	0.2483
100170218	SNAR-C2	small ILF3/NF90-associated RNA C2	snRNA	0	0
100170219	SNAR-C4	small ILF3/NF90-associated RNA C4	snRNA	0.01992	0.1984
100170220	SNAR-E	small ILF3/NF90-associated RNA E	snRNA	0.002124	0.045
100170221	SNAR-H	small ILF3/NF90-associated RNA H	snRNA	0.00105	0.02935
100170222	SNAR-I	small ILF3/NF90-associated RNA I	snRNA	0.000521	0.02004
100170226	SNAR-C3	small ILF3/NF90-associated RNA C3	snRNA	0.0008286	0.02276
100170227	SNAR-D	small ILF3/NF90-associated RNA D	snRNA	0.0006283	0.02136
100170228	SNAR-G2	small ILF3/NF90-associated RNA G2	snRNA	0.000267	0.01426
100170229	SRRM5	serine/arginine repetitive matrix 5	protein-coding	4.82	0.8723
100170765	ERICH4	glutamate rich 4	protein-coding	0.8291	1.178
100170841	EPOP	elongin BC and polycomb repressive complex 2 associated protein	protein-coding	7.31	1.404
10018	BCL2L11	BCL2 like 11	protein-coding	9.444	0.7972
100188893	TOMM6	translocase of outer mitochondrial membrane 6	protein-coding	11.07	0.6521
100188947	HECTD2-AS1	HECTD2 antisense RNA 1	ncRNA	1.542	1.881
100188949	LINC00426	long intergenic non-protein coding RNA 426	ncRNA	2.837	1.54
100188953	LINC00092	long intergenic non-protein coding RNA 92	ncRNA	3.077	1.929
100188954	DNMBP-AS1	DNMBP antisense RNA 1	ncRNA	2.418	1.938
100189589	DCTN1-AS1	DCTN1 antisense RNA 1	ncRNA	0.95	1.279
10019	SH2B3	SH2B adaptor protein 3	protein-coding	9.36	0.9924
100190938	RAMP2-AS1	RAMP2 antisense RNA 1	ncRNA	4.603	1.776
100190939	TPT1-AS1	TPT1 antisense RNA 1	ncRNA	6.999	0.8131
100190940	LINC02418	long intergenic non-protein coding RNA 2418	ncRNA	1.368	2.353
100190949	C5orf52	chromosome 5 open reading frame 52	protein-coding	0.2223	0.6877
100190986	LOC100190986	uncharacterized LOC100190986	ncRNA	6.43	1.419
100191040	C2CD4D	C2 calcium dependent domain containing 4D	protein-coding	3.247	1.501
100192378	ZFHX4-AS1	ZFHX4 antisense RNA 1	ncRNA	1.672	2.099
100192379	PP12613	uncharacterized LOC100192379	ncRNA	0.3404	0.713
100192386	FLJ16779	uncharacterized LOC100192386	ncRNA	3.454	3.108
100192420	LINC01634	long intergenic non-protein coding RNA 1634	ncRNA	0.7022	1.041
100192426	LOC100192426	uncharacterized LOC100192426	ncRNA	0.3134	0.7493
1002	CDH4	cadherin 4	protein-coding	2.816	2.796
10020	GNE	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	protein-coding	9.337	1.149
10021	HCN4	hyperpolarization activated cyclic nucleotide gated potassium channel 4	protein-coding	2.582	2.404
100216001	MANCR	mitotically associated long non coding RNA	ncRNA	1.834	1.873
100216545	KMT2E-AS1	KMT2E antisense RNA 1	ncRNA	6.669	0.9785
10022	INSL5	insulin like 5	protein-coding	0.4272	0.8744
10023	FRAT1	FRAT1, WNT signaling pathway regulator	protein-coding	6.941	0.9689
100233209	PCED1B-AS1	PCED1B antisense RNA 1	ncRNA	3.798	1.675
